TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer,Amount_Cleaned,LatePayment_Cleaned,TotalFees,Fraud_Suspicion_Score,Is_High_Risk,LatePayment_Flag,Risk_Status,Risk_Level,Year,Month,MonthName,Quarter,YearMonth,DateKey,Income_Group,CreditScore_Group,IF_Anomaly_Flag,IF_Anomaly_Score,LOF_Anomaly_Flag,LOF_Anomaly_Score,Anomaly_Count,Early_Warning_Score,Early_Warning_Level
11,2685,2023-01-04,Deposit,10750.80782115308,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,0.0,33.97,0.0,843,9910.87,High Income Segment,Premium Investment Services,10750.80782115308,0.0,33.97,0,0,0,Normal,Normal,2023,1,Jan,Q1,2023-01,20230104,High Income,Good,0,-0.016575118721463555,0,1.0302201056445477,0,0,Low
12,1769,2023-11-23,Card Payment,9476.064540955227,Credit Card,Gold,Valencia,39.4699,-0.3763,ATM,EUR,40.0,0.0,0.0,383,6000.41,Middle Income Segment,Gold Card with Travel Benefits,9476.064540955227,0.0,40.0,20,1,0,High Risk,High,2023,11,Nov,Q4,2023-11,20231123,Middle Income,Very Low,0,-0.03416951672846458,0,1.0095775531130686,0,3,Medium
13,7949,2023-10-24,Loan Payment,347.078478023202,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,26.89,484,5906.51,Middle Income Segment,Mid-tier Savings Booster,347.078478023202,26.89,0.0,0,0,1,Normal,Normal,2023,10,Oct,Q4,2023-10,20231024,Middle Income,Low,0,-0.040410085325597866,0,1.0548532624091973,0,1,Low
14,3433,2023-03-03,Loan Payment,282.1119571119077,Credit Card,Business,Seville,37.3891,-5.9845,Mobile,EUR,23.5,0.0,142.66,662,3858.5,Middle Income Segment,Gold Card with Travel Benefits,282.1119571119077,142.66,23.5,0,0,1,Normal,Normal,2023,3,Mar,Q1,2023-03,20230303,Middle Income,Medium,0,-0.01104228911346361,0,1.0164399597804714,0,1,Low
15,6311,2023-05-30,Deposit,2967.039719614751,Savings Account,Student,Bilbao,43.263,-2.935,Branch,EUR,0.0,0.0,0.0,730,1012.55,Low Income Segment,No-Fee Basic Account,2967.039719614751,0.0,0.0,0,0,0,Normal,Normal,2023,5,May,Q2,2023-05,20230530,Low Income,Good,0,-0.03517148796469505,0,1.0097113300703395,0,0,Low
16,6051,2023-04-20,Card Payment,4760.063919437015,Savings Account,Platinum,Valencia,39.4699,-0.3763,Mobile,USD,0.0,0.0,0.0,332,6165.08,Middle Income Segment,Mid-tier Savings Booster,4760.063919437015,0.0,0.0,20,1,0,High Risk,High,2023,4,Apr,Q2,2023-04,20230420,Middle Income,Very Low,0,-0.0612734689437921,0,1.0288963702838259,0,3,Medium
17,7420,2024-10-08,Loan Payment,6036.819687154504,Loan,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,14.51,101.65,827,6732.4,Middle Income Segment,Personal Loan Cashback Offer,6036.819687154504,101.65,14.51,0,0,1,Normal,Normal,2024,10,Oct,Q4,2024-10,20241008,Middle Income,Good,0,-0.017345150915260343,1,1.1137472720912922,1,2,Medium
18,2184,2023-12-21,Fee,4189.673892441536,Savings Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,0.0,383,8253.9,High Income Segment,Premium Investment Services,4189.673892441536,0.0,0.0,20,1,0,High Risk,High,2023,12,Dec,Q4,2023-12,20231221,High Income,Very Low,0,-0.05047483943444625,0,1.0290711019418388,0,3,Medium
19,5555,2025-05-05,Card Payment,9537.538640696797,Loan,Student,Murcia,37.9847,-1.1287,Online,EUR,0.0,26.68,0.0,711,4055.12,Middle Income Segment,Personal Loan Cashback Offer,9537.538640696797,0.0,26.68,0,0,0,Normal,Normal,2025,5,May,Q2,2025-05,20250505,Middle Income,Good,0,-0.04927396888605656,0,1.0058013986480072,0,0,Low
20,4385,2023-05-05,Card Payment,3889.23616171974,Checking Account,Business,Bilbao,43.263,-2.935,ATM,EUR,0.0,0.0,0.0,635,7191.14,High Income Segment,Premium Investment Services,3889.23616171974,0.0,0.0,0,0,0,Normal,Normal,2023,5,May,Q2,2023-05,20230505,High Income,Medium,0,-0.06092094756526273,0,0.9882062786730058,0,0,Low
21,7396,2024-01-17,Deposit,2562.163609207357,Savings Account,Platinum,Valencia,39.4699,-0.3763,ATM,EUR,0.0,0.0,0.0,748,8547.74,High Income Segment,Premium Investment Services,2562.163609207357,0.0,0.0,0,0,0,Normal,Normal,2024,1,Jan,Q1,2024-01,20240117,High Income,Good,0,-0.047134549026070505,0,0.999045828185215,0,0,Low
22,9666,2024-11-17,Fee,3404.541799160214,Checking Account,Standard,Valencia,39.4699,-0.3763,Branch,EUR,0.0,0.0,0.0,606,5573.25,Middle Income Segment,Mid-tier Savings Booster,3404.541799160214,0.0,0.0,0,0,0,Normal,Normal,2024,11,Nov,Q4,2024-11,20241117,Middle Income,Medium,0,-0.07776844568128344,0,0.9952720065658333,0,0,Low
23,3558,2024-10-20,Fee,1972.456600645855,Checking Account,Business,Malaga,36.7213,-4.4214,Mobile,EUR,0.0,0.0,0.0,828,2763.09,Low Income Segment,Financial Literacy Program Access,1972.456600645855,0.0,0.0,0,0,0,Normal,Normal,2024,10,Oct,Q4,2024-10,20241020,Low Income,Good,0,-0.0323543878562359,0,1.011801672556415,0,0,Low
24,8849,2023-04-23,Loan Payment,12796.84636233104,Mortgage,Student,Bilbao,43.263,-2.935,ATM,USD,0.0,0.0,170.94,465,8635.25,High Income Segment,Exclusive Platinum Package,12796.84636233104,170.94,0.0,0,0,1,Normal,Normal,2023,4,Apr,Q2,2023-04,20230423,High Income,Low,1,0.001162509294491132,0,1.0052170792828057,1,2,Medium
25,3047,2025-02-28,Transfer,2611.927729314473,Loan,Business,Murcia,37.9847,-1.1287,ATM,EUR,0.0,48.66,0.0,479,7386.01,High Income Segment,Premium Investment Services,2611.927729314473,0.0,48.66,0,0,0,Normal,Normal,2025,2,Feb,Q1,2025-02,20250228,High Income,Low,0,-0.028463477407059345,0,1.0048141724139257,0,0,Low
26,3747,2024-08-14,Fee,7072.808735340604,Checking Account,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,0.0,0.0,507,9394.88,High Income Segment,Premium Investment Services,7072.808735340604,0.0,0.0,0,0,0,Normal,Normal,2024,8,Aug,Q3,2024-08,20240814,High Income,Low,0,-0.0446523541433107,0,0.9874172003922718,0,0,Low
27,1189,2023-01-07,Loan Payment,5369.450372124378,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,65.11,607,6298.02,Middle Income Segment,Mid-tier Savings Booster,5369.450372124378,65.11,0.0,0,0,1,Normal,Normal,2023,1,Jan,Q1,2023-01,20230107,Middle Income,Medium,0,-0.05452454070766666,0,1.0108590017188506,0,1,Low
28,3734,2024-01-06,Transfer,137.0270870529579,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,EUR,0.0,0.0,0.0,639,6773.86,Middle Income Segment,Mid-tier Savings Booster,137.0270870529579,0.0,0.0,0,0,0,Normal,Normal,2024,1,Jan,Q1,2024-01,20240106,Middle Income,Medium,0,-0.047583816637516985,0,1.0032272115998628,0,0,Low
29,4005,2025-01-01,Card Payment,844.0301918470752,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,589,4948.54,Middle Income Segment,Mid-tier Savings Booster,844.0301918470752,0.0,0.0,0,0,0,Normal,Normal,2025,1,Jan,Q1,2025-01,20250101,Middle Income,Medium,0,-0.07900440609538767,0,0.966250313733135,0,0,Low
30,5658,2024-11-09,Loan Payment,6924.048107341377,Checking Account,Gold,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,83.44,511,2730.56,Low Income Segment,Financial Literacy Program Access,6924.048107341377,83.44,0.0,0,0,1,Normal,Normal,2024,11,Nov,Q4,2024-11,20241109,Low Income,Low,0,-0.03130582631707568,0,0.9967370080464865,0,1,Low
31,2899,2024-10-19,Loan Payment,645.0363943555132,Savings Account,Standard,Malaga,36.7213,-4.4214,Mobile,EUR,0.0,0.0,163.57,713,3398.28,Middle Income Segment,Mid-tier Savings Booster,645.0363943555132,163.57,0.0,0,0,1,Normal,Normal,2024,10,Oct,Q4,2024-10,20241019,Middle Income,Good,0,-0.033263114994100285,0,0.9915672544480799,0,1,Low
32,8734,2023-08-29,Deposit,9176.159123763062,Loan,Business,Madrid,40.4168,-3.7038,Online,EUR,0.0,42.32,0.0,828,6072.51,Middle Income Segment,Personal Loan Cashback Offer,9176.159123763062,0.0,42.32,0,0,0,Normal,Normal,2023,8,Aug,Q3,2023-08,20230829,Middle Income,Good,0,-0.024364134354127875,0,1.0077037338153052,0,0,Low
33,2267,2024-07-19,Card Payment,915.9630527691642,Savings Account,Standard,Barcelona,41.3874,2.1686,Mobile,EUR,0.0,0.0,0.0,749,6377.72,Middle Income Segment,Mid-tier Savings Booster,915.9630527691642,0.0,0.0,0,0,0,Normal,Normal,2024,7,Jul,Q3,2024-07,20240719,Middle Income,Good,0,-0.0658946158306159,0,1.0108662550097205,0,0,Low
34,2528,2024-02-13,Card Payment,4885.10863283505,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,USD,10.31,0.0,0.0,587,5057.74,Middle Income Segment,Gold Card with Travel Benefits,4885.10863283505,0.0,10.31,0,0,0,Normal,Normal,2024,2,Feb,Q1,2024-02,20240213,Middle Income,Medium,0,-0.06877708672439775,0,0.9994023422293671,0,0,Low
35,4556,2024-11-22,Withdrawal,1027.55101696638,Savings Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0.0,0.0,0.0,545,7426.07,High Income Segment,Premium Investment Services,1027.55101696638,0.0,0.0,0,0,0,Normal,Normal,2024,11,Nov,Q4,2024-11,20241122,High Income,Low,0,-0.05611863042552856,0,0.9840871167328368,0,0,Low
36,4890,2023-03-17,Transfer,2603.190122463628,Checking Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,0.0,573,6668.18,Middle Income Segment,Mid-tier Savings Booster,2603.190122463628,0.0,0.0,0,0,0,Normal,Normal,2023,3,Mar,Q1,2023-03,20230317,Middle Income,Medium,0,-0.06704403459992625,0,0.9920589538360899,0,0,Low
37,9838,2023-06-01,Loan Payment,1872.873849578536,Mortgage,Gold,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,0.0,97.86,437,3594.46,Middle Income Segment,Mid-tier Savings Booster,1872.873849578536,97.86,0.0,20,0,1,Normal,Low,2023,6,Jun,Q2,2023-06,20230601,Middle Income,Low,0,-0.04243700583266541,0,1.0242752805334208,0,1,Low
38,6393,2023-09-09,Fee,6909.05984125442,Loan,Business,Seville,37.3891,-5.9845,ATM,EUR,0.0,75.77,0.0,387,1489.97,Low Income Segment,Financial Literacy Program Access,6909.05984125442,0.0,75.77,20,1,0,High Risk,High,2023,9,Sep,Q3,2023-09,20230909,Low Income,Very Low,1,0.002936295009058565,0,0.9975185440425974,1,4,High
39,9792,2023-08-22,Fee,4550.103981996912,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0.0,96.66,0.0,833,9249.61,High Income Segment,Premium Investment Services,4550.103981996912,0.0,96.66,0,0,0,Normal,Normal,2023,8,Aug,Q3,2023-08,20230822,High Income,Good,1,0.004155385931486011,0,1.0590247768952632,1,1,Low
40,9433,2024-11-27,Withdrawal,5455.139748234597,Mortgage,Student,Barcelona,41.3874,2.1686,Branch,EUR,0.0,0.0,0.0,682,6915.34,Middle Income Segment,Mid-tier Savings Booster,5455.139748234597,0.0,0.0,0,0,0,Normal,Normal,2024,11,Nov,Q4,2024-11,20241127,Middle Income,Medium,0,-0.060497466083711204,0,1.0071219852791597,0,0,Low
41,8513,2023-12-24,Transfer,490.8950551964337,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,58.58,0.0,575,4473.92,Middle Income Segment,Personal Loan Cashback Offer,490.8950551964337,0.0,58.58,0,0,0,Normal,Normal,2023,12,Dec,Q4,2023-12,20231224,Middle Income,Medium,0,-0.03163195229772109,0,1.0027162658546305,0,0,Low
42,3612,2023-01-23,Deposit,1068.25056093046,Checking Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,588,8516.75,High Income Segment,Premium Investment Services,1068.25056093046,0.0,0.0,0,0,0,Normal,Normal,2023,1,Jan,Q1,2023-01,20230123,High Income,Medium,0,-0.055693379092428386,0,0.9976899081907955,0,0,Low
43,8041,2024-05-30,Transfer,5519.536299853136,Checking Account,Business,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,0.0,0.0,689,5185.09,Middle Income Segment,Mid-tier Savings Booster,5519.536299853136,0.0,0.0,0,0,0,Normal,Normal,2024,5,May,Q2,2024-05,20240530,Middle Income,Medium,0,-0.07797079915549138,0,0.9949827720114343,0,0,Low
44,7235,2025-05-01,Fee,4366.090506490205,Mortgage,Platinum,Zaragoza,41.6488,-0.8891,Mobile,EUR,0.0,0.0,0.0,605,8839.3,High Income Segment,Exclusive Platinum Package,4366.090506490205,0.0,0.0,0,0,0,Normal,Normal,2025,5,May,Q2,2025-05,20250501,High Income,Medium,0,-0.055624573614498185,0,0.9983373039168075,0,0,Low
45,6486,2024-07-31,Fee,3451.563164513013,Checking Account,Student,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,0.0,835,5847.99,Middle Income Segment,Mid-tier Savings Booster,3451.563164513013,0.0,0.0,0,0,0,Normal,Normal,2024,7,Jul,Q3,2024-07,20240731,Middle Income,Good,0,-0.06237314230904556,0,1.0206084509211617,0,0,Low
46,8099,2024-02-06,Deposit,7466.107323462476,Credit Card,Student,Seville,37.3891,-5.9845,ATM,EUR,19.86,0.0,0.0,824,7713.93,High Income Segment,Exclusive Platinum Package,7466.107323462476,0.0,19.86,0,0,0,Normal,Normal,2024,2,Feb,Q1,2024-02,20240206,High Income,Good,0,-0.028619842475605894,0,1.0329121583785517,0,0,Low
47,1775,2024-02-17,Deposit,3472.508336542469,Checking Account,Gold,Bilbao,43.263,-2.935,Mobile,EUR,0.0,0.0,0.0,423,3926.32,Middle Income Segment,Mid-tier Savings Booster,3472.508336542469,0.0,0.0,20,0,0,Normal,Low,2024,2,Feb,Q1,2024-02,20240217,Middle Income,Low,0,-0.07286808317519367,0,1.0059016181886817,0,0,Low
48,9226,2025-04-09,Fee,2810.863397423469,Loan,Standard,Barcelona,41.3874,2.1686,Branch,EUR,0.0,15.68,0.0,554,1261.38,Low Income Segment,Financial Literacy Program Access,2810.863397423469,0.0,15.68,0,0,0,Normal,Normal,2025,4,Apr,Q2,2025-04,20250409,Low Income,Medium,0,-0.029012499151567672,0,1.0630617039349761,0,0,Low
49,4152,2023-10-19,Loan Payment,8199.032472556859,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,182.81,691,5875.14,Middle Income Segment,Mid-tier Savings Booster,8199.032472556859,182.81,0.0,0,0,1,Normal,Normal,2023,10,Oct,Q4,2023-10,20231019,Middle Income,Medium,0,-0.018611385330525754,0,1.021051597796298,0,1,Low
50,2585,2023-01-28,Loan Payment,7838.774460483614,Credit Card,Business,Madrid,40.4168,-3.7038,ATM,USD,2.62,0.0,145.39,445,6093.29,Middle Income Segment,Gold Card with Travel Benefits,7838.774460483614,145.39,2.62,20,0,1,Normal,Low,2023,1,Jan,Q1,2023-01,20230128,Middle Income,Low,0,-0.03474389233824082,0,1.0271079442381084,0,1,Low
51,4943,2023-11-30,Deposit,4679.070333171536,Checking Account,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0.0,0.0,0.0,424,5418.41,Middle Income Segment,Mid-tier Savings Booster,4679.070333171536,0.0,0.0,20,0,0,Normal,Low,2023,11,Nov,Q4,2023-11,20231130,Middle Income,Low,0,-0.07501255315306965,0,1.0079771077704773,0,0,Low
52,8555,2024-10-17,Card Payment,4115.585229400298,Credit Card,Standard,Madrid,40.4168,-3.7038,Mobile,EUR,8.14,0.0,0.0,642,9171.04,High Income Segment,Exclusive Platinum Package,4115.585229400298,0.0,8.14,0,0,0,Normal,Normal,2024,10,Oct,Q4,2024-10,20241017,High Income,Medium,0,-0.04822107805918252,0,1.0302343097809357,0,0,Low
53,4073,2024-11-23,Loan Payment,630.9850200251946,Savings Account,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0.0,0.0,175.22,330,6513.28,Middle Income Segment,Mid-tier Savings Booster,630.9850200251946,175.22,0.0,20,1,1,High Risk,High,2024,11,Nov,Q4,2024-11,20241123,Middle Income,Very Low,0,-0.014331401237091423,0,1.0291668895067514,0,4,High
54,2021,2023-08-17,Deposit,1244.342224330351,Savings Account,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,593,1715.94,Low Income Segment,No-Fee Basic Account,1244.342224330351,0.0,0.0,0,0,0,Normal,Normal,2023,8,Aug,Q3,2023-08,20230817,Low Income,Medium,0,-0.04074042300380387,0,1.003352566380475,0,0,Low
55,4843,2024-06-26,Transfer,9254.792205687714,Credit Card,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,45.25,0.0,0.0,389,6062.96,Middle Income Segment,Gold Card with Travel Benefits,9254.792205687714,0.0,45.25,20,1,0,High Risk,High,2024,6,Jun,Q2,2024-06,20240626,Middle Income,Very Low,0,-0.026353307952714844,0,1.0195474304270378,0,3,Medium
56,8989,2025-02-21,Transfer,3850.964441775596,Savings Account,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,0.0,0.0,0.0,561,3119.93,Middle Income Segment,Mid-tier Savings Booster,3850.964441775596,0.0,0.0,0,0,0,Normal,Normal,2025,2,Feb,Q1,2025-02,20250221,Middle Income,Medium,0,-0.05940338284405483,0,1.0178180681655846,0,0,Low
57,7873,2025-04-17,Transfer,441.3637934838166,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,0.0,747,4936.7,Middle Income Segment,Mid-tier Savings Booster,441.3637934838166,0.0,0.0,0,0,0,Normal,Normal,2025,4,Apr,Q2,2025-04,20250417,Middle Income,Good,0,-0.055467346571164255,0,0.9980859469149104,0,0,Low
58,6675,2025-02-10,Deposit,32.46730405255371,Savings Account,Business,Valencia,39.4699,-0.3763,ATM,EUR,0.0,0.0,0.0,746,6458.44,Middle Income Segment,Mid-tier Savings Booster,32.46730405255371,0.0,0.0,0,0,0,Normal,Normal,2025,2,Feb,Q1,2025-02,20250210,Middle Income,Good,0,-0.048656507035880314,0,1.0319113818703975,0,0,Low
59,1161,2023-02-19,Deposit,2626.019544978159,Mortgage,Business,Seville,37.3891,-5.9845,Branch,EUR,0.0,0.0,0.0,467,6954.48,Middle Income Segment,Mid-tier Savings Booster,2626.019544978159,0.0,0.0,0,0,0,Normal,Normal,2023,2,Feb,Q1,2023-02,20230219,Middle Income,Low,0,-0.05163513712950679,0,1.033739075652502,0,0,Low
60,5297,2024-01-08,Loan Payment,14064.72431074815,Mortgage,Platinum,Bilbao,43.263,-2.935,Online,EUR,0.0,0.0,166.84,436,8635.11,High Income Segment,Exclusive Platinum Package,14064.72431074815,166.84,0.0,40,0,1,Normal,Medium,2024,1,Jan,Q1,2024-01,20240108,High Income,Low,1,0.00803610220539308,0,1.0139840173845076,1,3,Medium
61,1995,2024-03-15,Loan Payment,2895.366237984525,Savings Account,Business,Barcelona,41.3874,2.1686,Mobile,EUR,0.0,0.0,62.05,724,5585.22,Middle Income Segment,Mid-tier Savings Booster,2895.366237984525,62.05,0.0,0,0,1,Normal,Normal,2024,3,Mar,Q1,2024-03,20240315,Middle Income,Good,0,-0.06027059457239575,0,0.99211706719016,0,1,Low
62,8629,2025-02-12,Loan Payment,10415.14268249008,Loan,Gold,Malaga,36.7213,-4.4214,ATM,EUR,0.0,90.65,164.68,431,2884.65,Low Income Segment,Financial Literacy Program Access,10415.14268249008,164.68,90.65,20,0,1,Normal,Low,2025,2,Feb,Q1,2025-02,20250212,Low Income,Low,1,0.03962710350566201,0,1.0607553926481652,1,2,Medium
63,2016,2023-07-04,Withdrawal,2323.24036495889,Savings Account,Business,Zaragoza,41.6488,-0.8891,ATM,EUR,0.0,0.0,0.0,832,3207.61,Middle Income Segment,Mid-tier Savings Booster,2323.24036495889,0.0,0.0,0,0,0,Normal,Normal,2023,7,Jul,Q3,2023-07,20230704,Middle Income,Good,0,-0.0528751485263626,0,1.0586188338059084,0,0,Low
64,8869,2025-02-26,Deposit,4124.180621246264,Savings Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,363,2019.63,Low Income Segment,No-Fee Basic Account,4124.180621246264,0.0,0.0,20,1,0,High Risk,High,2025,2,Feb,Q1,2025-02,20250226,Low Income,Very Low,0,-0.03974356925331335,0,1.0089540607996585,0,3,Medium
65,7439,2023-05-02,Card Payment,173.9986122699694,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,USD,0.0,0.0,0.0,546,1794.71,Low Income Segment,No-Fee Basic Account,173.9986122699694,0.0,0.0,0,0,0,Normal,Normal,2023,5,May,Q2,2023-05,20230502,Low Income,Low,0,-0.03165235299170788,0,0.9985058149872632,0,0,Low
66,8892,2023-09-15,Transfer,5306.685307708655,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0.0,76.68,0.0,757,4758.75,Middle Income Segment,Personal Loan Cashback Offer,5306.685307708655,0.0,76.68,0,0,0,Normal,Normal,2023,9,Sep,Q3,2023-09,20230915,Middle Income,Good,0,-0.024680618629595807,0,0.9828831510116708,0,0,Low
67,7863,2023-09-09,Transfer,4696.096091947328,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0.0,56.99,0.0,654,1302.49,Low Income Segment,Financial Literacy Program Access,4696.096091947328,0.0,56.99,0,0,0,Normal,Normal,2023,9,Sep,Q3,2023-09,20230909,Low Income,Medium,0,-0.008044091252218277,0,0.9833519524327329,0,0,Low
68,8916,2023-11-23,Withdrawal,4896.108358018878,Savings Account,Gold,Seville,37.3891,-5.9845,ATM,EUR,0.0,0.0,0.0,510,5617.08,Middle Income Segment,Mid-tier Savings Booster,4896.108358018878,0.0,0.0,0,0,0,Normal,Normal,2023,11,Nov,Q4,2023-11,20231123,Middle Income,Low,0,-0.07106594951252865,0,0.977267110886217,0,0,Low
69,9529,2024-09-10,Withdrawal,2348.533948611826,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0.0,0.0,0.0,704,4574.97,Middle Income Segment,Mid-tier Savings Booster,2348.533948611826,0.0,0.0,0,0,0,Normal,Normal,2024,9,Sep,Q3,2024-09,20240910,Middle Income,Good,0,-0.0654821934983707,0,0.9916179929273753,0,0,Low
70,1878,2025-02-10,Transfer,4083.688443735576,Credit Card,Standard,Barcelona,41.3874,2.1686,ATM,EUR,40.31,0.0,0.0,511,7374.19,High Income Segment,Exclusive Platinum Package,4083.688443735576,0.0,40.31,0,0,0,Normal,Normal,2025,2,Feb,Q1,2025-02,20250210,High Income,Low,0,-0.022955812074827997,0,0.992338672565671,0,0,Low
